FID,MEASID,TimeStamp,Time,Site,LonBase,LatBase,Dist1__ft_,Dist2_Y,Dir1_X,Dir2_Y,LonPoint,LatPoint,Soil_Sat__,ID,Zone,Notes,Veg_Orig,Veg,Trip,Record_in,Lat_from_T,Longitude,Period___u,Attenuatio,Permittivi,Probe_Mode,F27,1973_raste,2014_raste,aspect,tpi_300m,flow_acc_d,slope_deg,Elevation,Fire_Year_,Fire_Num,Fire_Max_S,RASTERVALU
13,18.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,75.000000000000000,50.000000000000000,N,W,-118.691500000000005,36.722580000000001,6.150000000000000,1329.000000000000000,[No GPS Lock],6.15,"Conifer, Mixed",mixed conifer,2016_Early,2862.000000000000000, , , , , , , ,4.0000000,4.0000000,113.0920029,9,0.0000000,6.4553699,2471.1699219,2003,1,1,293.735988689999999
14,23.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,100.000000000000000,50.000000000000000,N,W,-118.691500000000005,36.722659999999998,10.859999999999999,1329.000000000000000,[No GPS Lock],10.86,"Conifer, Mixed",mixed conifer,2016_Early,2856.000000000000000, , , , , , , ,4.0000000,4.0000000,98.4052963,10,2.0000000,6.2462702,2471.4299316,2003,1,2,292.431280860000015
15,2.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,0.000000000000000,25.000000000000000,N,W,-118.691249999999997,36.722340000000003,5.290000000000000,1783.000000000000000,ZONE 00078,5.29,"Conifer, Mixed",mixed conifer,2016_Early,2858.000000000000000, , , , , , , ,4.0000000,4.0000000,119.6949997,7,1.0000000,6.2463999,2466.9799805,2003,1,1,274.260768400000018
16,7.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,25.000000000000000,25.000000000000000,N,W,-118.691249999999997,36.722417000000000,9.039999999999999,1783.000000000000000,ZONE 00078,9.04,"Conifer, Mixed",mixed conifer,2016_Early,2865.000000000000000, , , , , , , ,4.0000000,4.0000000,114.6900024,8,0.0000000,6.2963600,2467.6599121,2003,1,1,271.690976939999985
17,12.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,50.000000000000000,25.000000000000000,N,W,-118.691249999999997,36.722495000000002,5.610000000000000,1783.000000000000000,ZONE 00078,5.61,"Conifer, Mixed",mixed conifer,2016_Early,2868.000000000000000, , , , , , , ,4.0000000,4.0000000,114.6900024,8,0.0000000,6.2963600,2467.6599121,2003,1,1,269.121182890000000
18,17.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,75.000000000000000,25.000000000000000,N,W,-118.691249999999997,36.722572000000000,8.529999999999999,1329.000000000000000,[No GPS Lock],8.53,"Conifer, Mixed",mixed conifer,2016_Early,2863.000000000000000, , , , , , , ,4.0000000,4.0000000,102.6309967,8,2.0000000,6.1148000,2467.9399414,2003,1,1,266.551386250000007
19,22.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,100.000000000000000,25.000000000000000,N,W,-118.691249999999997,36.722650000000002,6.410000000000000,1329.000000000000000,[No GPS Lock],6.41,"Conifer, Mixed",mixed conifer,2016_Early,2855.000000000000000, , , , , , , ,4.0000000,4.0000000,95.8125000,9,5.0000000,5.9922600,2468.1201172,2003,1,2,264.981604969999978
20,1.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,0.000000000000000,0.000000000000000,N,W,-118.691000000000003,36.722340000000003,10.289999999999999,1783.000000000000000,[No GPS Lock],WPT 709,"Conifer, Mixed",mixed conifer,2016_Early,2855.000000000000000, , , , , , , ,4.0000000,4.0000000,113.3860016,6,3.0000000,5.4948301,2464.1499023,2003,1,2,247.878745659999993
21,6.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,25.000000000000000,0.000000000000000,N,W,-118.691000000000003,36.722414999999998,7.690000000000000,1783.000000000000000,ZONE 00078,7.69,"Conifer, Mixed",mixed conifer,2016_Early,2866.000000000000000, , , , , , , ,4.0000000,4.0000000,109.0339966,7,0.0000000,5.5968099,2464.5500488,2003,1,2,245.104066869999997
22,11.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,50.000000000000000,0.000000000000000,N,W,-118.691000000000003,36.722490000000001,8.090000000000000,1783.000000000000000,ZONE 00078,8.09,"Conifer, Mixed",mixed conifer,2016_Early,2867.000000000000000, , , , , , , ,4.0000000,4.0000000,109.0339966,7,0.0000000,5.5968099,2464.5500488,2003,1,2,242.329385370000011
23,16.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,75.000000000000000,0.000000000000000,N,W,-118.691000000000003,36.722565000000003,7.990000000000000,1329.000000000000000,[No GPS Lock],7.99,"Conifer, Mixed",mixed conifer,2016_Early,2864.000000000000000, , , , , , , ,4.0000000,1.0000000,104.1259995,8,5.0000000,5.5385098,2464.8200684,2003,1,2,239.554701160000008
24,21.000000000000000,6/1/2016 0:00:00,12/30/1899 0:00:00,53.000000000000000, , ,100.000000000000000,0.000000000000000,N,W,-118.691000000000003,36.722639999999998,8.720000000000001,1329.000000000000000,[No GPS Lock],WPT 53,"Conifer, Mixed",mixed conifer,2016_Early,2854.000000000000000, , , , , , , ,4.0000000,1.0000000,102.2440033,8,8.0000000,5.4307499,2465.0400391,2003,1,2,237.649138109999996
